work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Phaen.,1,1,1,ἐκ διὸς,ἐκ ζεύς,1,–⏑⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,1,1,2,ἀρχώμεσθα,ἄρχω,3,–––⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,1,1,3,τὸν οὐδέποτ’,ὁ οὐδέποτε,6.5,⏑–⏑⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,1,1,4,ἄνδρες,ἀνήρ,9,–⏑,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,1,1,5,ἐῶμεν,ἐάω,10.5,⏑––,auto,1,"ἐκ Διὸς ἀρχώμεσθα, τὸν οὐδέποτ’ ἄνδρες ἐῶμεν"
Phaen.,1,2,1,ἄρρητον,ἄρρητος,1,–––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,1,2,2,μεσταὶ δέ,μεστός δέ,4,––⏑,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,1,2,3,διὸς,ζεύς,6.5,⏑–,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,1,2,4,πᾶσαι μὲν,πᾶς μέν,8,––⏑,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,1,2,5,ἀγυιαί,ἀγυιά,10.5,⏑––,auto,1,"ἄρρητον· μεσταὶ δέ Διὸς πᾶσαι μὲν ἀγυιαί,"
Phaen.,1,3,1,πᾶσαι,πᾶς,1,––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,3,2,δ’,δέ,3,,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,3,3,ἀνθρώπων,ἄνθρωπος,3,–––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,3,4,ἀγοραί,ἀγορά,6,⏑⏑–,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,3,5,μεστὴ δὲ,μεστός δέ,8,––⏑,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,3,6,θάλασσα,θάλασσα,10.5,⏑––,auto,1,"πᾶσαι δ’ ἀνθρώπων ἀγοραί, μεστὴ δὲ θάλασσα"
Phaen.,1,4,1,καὶ λιμένες,καί λιμήν,1,–⏑⏑–,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,1,4,2,πάντη δὲ,πάντῃ δέ,4,––⏑,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,1,4,3,διὸς,ζεύς,6.5,⏑–,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,1,4,4,κεχρήμεθα,χράω2,8,––⏑⏑,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,1,4,5,πάντες,πᾶς,11,––,auto,1,καὶ λιμένες· πάντη δὲ Διὸς κεχρήμεθα πάντες.
Phaen.,1,5,1,τοῦ γάρ,ὁ γάρ,1,––,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,5,2,καὶ γένος,καί γένος,3,–⏑⏑,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,5,3,εἰμέν,εἰμί,5,–⏑,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,5,4,ὁ δ’,ὁ δέ,6.5,⏑,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,5,5,ἤπιος,ἤπιος,7,–⏑⏑,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,5,6,ἀνθρώποισιν,ἄνθρωπος,9,––––,auto,1,τοῦ γάρ καὶ γένος εἰμέν· ὁ δ’ ἤπιος ἀνθρώποισιν
Phaen.,1,6,1,δεξιὰ,δεξιός,1,–⏑⏑,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,6,2,σημαίνει,σημαίνω,3,–––,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,6,3,λαοὺς,λαός,6,––,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,6,4,δ’,δέ,8,,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,6,5,ἐπὶ ἔργον,ἐπί ἔργον,8,⏑⏑–⏑,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,6,6,ἐγείρει,ἐγείρω,10.5,⏑––,auto,1,"δεξιὰ σημαίνει, λαοὺς δ’ ἐπὶ ἔργον ἐγείρει,"
Phaen.,1,7,1,μιμνῄσκων,μιμνήσκω,1,–––,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,7,2,βιότοιο,βίοτος,4,⏑⏑–⏑,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,7,3,λέγει,λέγω,6.5,⏑–,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,7,4,δ’,δέ,8,,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,7,5,ὅτε βῶλος,ὅτε βῶλος,8,⏑⏑–⏑,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,7,6,ἀρίστη,ἄριστος,10.5,⏑––,auto,1,"μιμνῄσκων βιότοιο, λέγει δ’ ὅτε βῶλος ἀρίστη"
Phaen.,1,8,1,βουσί τε,βοῦς τε,1,–⏑⏑,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,8,2,καὶ μακέλῃσι,καί μακέλας,3,–⏑⏑–⏑,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,8,3,λέγει,λέγω,6.5,⏑–,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,8,4,δ’,δέ,8,,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,8,5,ὅτε δεξιαὶ,ὅτε δεξιά,8,⏑⏑–⏑⏑,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,8,6,ὧραι,ὥρα,11,––,auto,1,"βουσί τε καὶ μακέλῃσι, λέγει δ’ ὅτε δεξιαὶ ὧραι"
Phaen.,1,9,1,καὶ φυτὰ,καί φυτόν,1,–⏑⏑,auto,1,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaen.,1,9,2,γυρῶσαι,γυρόω,3,–––,auto,1,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaen.,1,9,3,καὶ σπέρματα,καί σπέρμα,6,––⏑⏑,auto,1,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaen.,1,9,4,πάντα,πᾶς,9,–⏑,auto,1,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaen.,1,9,5,βαλέσθαι,βάλλω,10.5,⏑––,auto,1,καὶ φυτὰ γυρῶσαι καὶ σπέρματα πάντα βαλέσθαι.
Phaen.,1,10,1,αὐτὸς γὰρ,αὐτός γάρ,1,–––,auto,1,"αὐτὸς γὰρ τά γε σήματ’ ἐν οὐρανῷ ἐστήριξεν,"
Phaen.,1,10,2,τά γε,ὁ γε,4,⏑⏑,auto,1,"αὐτὸς γὰρ τά γε σήματ’ ἐν οὐρανῷ ἐστήριξεν,"
