work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Callim.Hymn,1,1,1,ζηνὸς,ζεύς,1,–⏑,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,2,ἔοι,εἰμί,2.5,⏑–,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,3,τί κεν,τίς ἄν,4,⏑⏑,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,4,ἄλλο,ἄλλος,5,–⏑,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,5,παρὰ,παρά,6.5,⏑–,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,6,σπονδῇσιν,σπονδή,8,––⏑,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,1,7,ἀείδειν,ἀείδω,10.5,⏑––,auto,1,Ζηνὸς ἔοι τί κεν ἄλλο παρὰ σπονδῇσιν ἀείδειν
Callim.Hymn,1,2,1,λώιον,λωίων,1,–⏑⏑,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,2,ἢ,ἤ,3,–,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,3,θεὸν,θεός,4,⏑⏑,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,4,αὐτόν,αὐτός,5,–⏑,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,5,ἀεὶ,ἀεί,6.5,⏑–,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,6,μέγαν,μέγας,8,⏑⏑,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,7,αἰὲν,ἀεί,9,–⏑,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,2,8,ἄνακτα,ἄναξ,10.5,⏑––,auto,1,"λώιον ἢ θεὸν αὐτόν, ἀεὶ μέγαν, αἰὲν ἄνακτα,"
Callim.Hymn,1,3,1,πηλαγόνων,πηλαγόνων,1,–⏑⏑–,auto,1,"Πηλαγόνων  ἐλατῆρα, δικασπόλον οὐρανίδῃσι;"
Callim.Hymn,1,3,2,ἐλατῆρα,ἐλατήρ,4,⏑⏑–⏑,auto,1,"Πηλαγόνων  ἐλατῆρα, δικασπόλον οὐρανίδῃσι;"
Callim.Hymn,1,3,3,δικασπόλον,δικασπόλος,6.5,⏑–⏑⏑,auto,1,"Πηλαγόνων  ἐλατῆρα, δικασπόλον οὐρανίδῃσι;"
Callim.Hymn,1,3,4,οὐρανίδῃσι,οὐρανίδης,9,–⏑⏑––,auto,1,"Πηλαγόνων  ἐλατῆρα, δικασπόλον οὐρανίδῃσι;"
Callim.Hymn,1,4,1,πῶς,πῶς,1,–,auto,1,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Callim.Hymn,1,4,2,καί μιν,καί μιν,2,––,auto,1,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Callim.Hymn,1,4,3,δικταῖον,δικταῖος,4,––⏑,auto,1,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Callim.Hymn,1,4,4,ἀείσομεν,ἀείδω,6.5,⏑–⏑⏑,auto,1,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Callim.Hymn,1,4,5,ἠὲ λυκαῖον,ἤ λυκαῖος,9,–⏑⏑––,auto,1,"πῶς καί μιν, Δικταῖον ἀείσομεν ἠὲ Λυκαῖον;"
Callim.Hymn,1,5,1,ἐν δοιῇ,ἐν δοιή,1,–––,auto,1,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Callim.Hymn,1,5,2,μάλα,μάλα,4,⏑⏑,auto,1,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Callim.Hymn,1,5,3,θυμός,θυμός,5,–⏑,auto,1,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Callim.Hymn,1,5,4,ἐπεὶ γένος,ἐπεί γένος,6.5,⏑–⏑⏑,auto,1,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Callim.Hymn,1,5,5,ἀμφήριστον,ἀμφήριστος,9,––––,auto,1,"ἐν δοιῇ μάλα θυμός, ἐπεὶ γένος ἀμφήριστον."
Callim.Hymn,1,6,1,ζεῦ,ζεύς,1,–,auto,1,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Callim.Hymn,1,6,2,σὲ μὲν,σύ μέν,2,⏑⏑,auto,1,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Callim.Hymn,1,6,3,ἰδαίοισιν,ἰδαῖος,3,–––⏑,auto,1,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Callim.Hymn,1,6,4,ἐν οὔρεσί φασι,ἐν ὄρος φημί,6.5,⏑–⏑⏑–⏑,auto,1,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Callim.Hymn,1,6,5,γενέσθαι,γίγνομαι,10.5,⏑––,auto,1,"Ζεῦ, σὲ μὲν Ἰδαίοισιν ἐν οὔρεσί φασι γενέσθαι,"
Callim.Hymn,1,7,1,ζεῦ,ζεύς,1,–,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,2,σὲ,σύ,2,⏑,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,3,δ’,δέ,2.5,,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,4,ἐν ἀρκαδίῃ,ἐν ἀρκαδία,2.5,⏑–⏑⏑–,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,5,πότεροι,πότερος,6,⏑⏑–,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,6,πάτερ,πάτηρ,8,⏑⏑,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,7,7,ἐψεύσαντο,ψεύδω,9,––––,auto,1,"Ζεῦ, σὲ δ’ ἐν Ἀρκαδίῃ· πότεροι, πάτερ, ἐψεύσαντο;"
Callim.Hymn,1,8,1,κρῆτες,κρής,1,–⏑,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,2,ἀεὶ,ἀεί,2.5,⏑–,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,3,ψεῦσται,ψεύστης,4,––,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,4,καὶ γὰρ,καί γάρ,6,––,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,5,τάφον,τάφος,8,⏑⏑,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,6,ὦ ἄνα,ὦ ἀνά,9,–⏑⏑,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,8,7,σεῖο,σύ,11,––,auto,1,"‘Κρῆτες ἀεὶ ψεῦσται·’ καὶ γὰρ τάφον, ὦ ἄνα, σεῖο"
Callim.Hymn,1,9,1,κρῆτες,κρής,1,–⏑,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,2,ἐτεκτήναντο,τεκταίνομαι,2.5,⏑–––⏑,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,3,σὺ,σύ,6.5,⏑,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,4,δ’,δέ,7,,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,5,οὐ θάνες,οὐ θνήσκω,7,–⏑⏑,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,6,ἐσσὶ γὰρ,εἰμί γάρ,9,–⏑⏑,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,9,7,αἰεί,ἀεί,11,––,auto,1,"Κρῆτες ἐτεκτήναντο· σὺ δ’ οὐ θάνες, ἐσσὶ γὰρ αἰεί."
Callim.Hymn,1,10,1,ἐν δέ σε,ἐν δέ σύ,1,–⏑⏑,auto,1,"ἐν δέ σε Παρρασίῃ  Ῥείη τέκεν, ἧχι μάλιστα"
