work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Sh.,Sh.,1,1,ἢ,ἤ,1,–,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,1,2,οἵη,οἷος,2,––,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,1,3,προλιποῦσα,προλείπω,4,⏑⏑–⏑,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,1,4,δόμους,δόμος,6.5,⏑–,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,1,5,καὶ πατρίδα,καί πατρίς,8,––⏑⏑,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,1,6,γαῖαν,γαῖα,11,––,auto,1,ἢ οἵη προλιποῦσα δόμους καὶ πατρίδα γαῖαν
Sh.,Sh.,2,1,ἤλυθεν,ἔρχομαι,1,–⏑⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,Sh.,2,2,ἐς θήβας,εἰς θῆβαι,3,–––,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,Sh.,2,3,μετ’,μετά,6,⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,Sh.,2,4,ἀρήιον,ἄρειος,6.5,⏑–⏑⏑,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,Sh.,2,5,ἀμφιτρύωνα,ἀμφιτρύων,9,–⏑⏑––,auto,1,ἤλυθεν ἐς Θήβας μετ’ ἀρήιον Ἀμφιτρύωνα
Sh.,Sh.,3,1,ἀλκμήνη,ἀλκμήνη,1,–––,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,Sh.,3,2,θυγάτηρ,θυγάτηρ,4,⏑⏑–,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
Sh.,Sh.,3,3,λαοσσόου,λαοσσόος,6,––⏑⏑,manual,1,"Ἀλκμήνη, θυγάτηρ λαοσσόου Ἠλεκτρύωνος·"
