work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Theog.,Th.,1,1,μουσάων,Μοῦσα,1,–––,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,Th.,1,2,ἑλικωνιάδων,ἑλικωνιάδες,4,⏑⏑–⏑⏑–,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,Th.,1,3,ἀρχώμεθ’,ἄρχω,8,––⏑,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,Th.,1,4,ἀείδειν,ἀείδω,10.5,⏑––,auto,1,"Μουσάων Ἑλικωνιάδων ἀρχώμεθ’ ἀείδειν,"
Theog.,Th.,2,1,αἵθ’,ὅστε,1,–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,2,2,ἑλικῶνος,ἑλικών,2,⏑⏑–⏑,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,2,3,ἔχουσιν,ἔχω,4.5,⏑–⏑,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,2,4,ὄρος,ὄρος,6.5,⏑–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,2,5,μέγα τε,μέγας τε,8,⏑⏑–,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,2,6,ζάθεόν τε,ζάθεος τε,10,⏑⏑––,auto,1,αἵθ’ Ἑλικῶνος ἔχουσιν ὄρος μέγα τε ζάθεόν τε
Theog.,Th.,3,1,καί τε,καί τε,1,–⏑,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,3,2,περὶ,περί,2.5,⏑–,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,3,3,κρήνην,κρήνη,4,––,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,3,4,ἰοειδέα,ἰοειδής,6,⏑⏑–⏑⏑,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,3,5,πόσς’,πόσος,9,–,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,3,6,ἁπαλοῖσιν,ἁπαλός,10,⏑⏑––,auto,1,καί τε περὶ κρήνην ἰοειδέα πόσς’ ἁπαλοῖσιν
Theog.,Th.,4,1,ὀρχεῦνται,ὀρχέομαι,1,–––,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,Th.,4,2,καὶ βωμὸν,καί βωμός,4,––⏑,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,Th.,4,3,ἐρισθενέος,ἐρισθενής,6.5,⏑–⏑⏑–,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,Th.,4,4,κρονίωνος,κρονίων,10,⏑⏑––,auto,1,ὀρχεῦνται καὶ βωμὸν ἐρισθενέος Κρονίωνος.
Theog.,Th.,5,1,καί τε,καί τε,1,–⏑,auto,1,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theog.,Th.,5,2,λοεσσάμεναι,λούω,2.5,⏑–⏑⏑–,auto,1,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theog.,Th.,5,3,τέρενα,τέρην,6,⏑⏑–,auto,1,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theog.,Th.,5,4,χρόα,χρώς,8,⏑⏑,auto,1,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theog.,Th.,5,5,περμησσοῖο,περμησσοῖο,9,––––,auto,1,καί τε λοεσσάμεναι τέρενα χρόα Περμησσοῖο
Theog.,Th.,6,1,ἢ,ἤ,1,–,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,6,2,ἵππου,ἵππος,2,––,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,6,3,κρήνης,κρήνη,4,––,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,6,4,ἢ,ἤ,6,–,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,6,5,ὀλμειοῦ,ὀλμειοῦ,7,–––,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,6,6,ζαθέοιο,ζάθεος,10,⏑⏑––,auto,1,ἢ Ἵππου κρήνης ἢ Ὀλμειοῦ ζαθέοιο
Theog.,Th.,7,1,ἀκροτάτῳ,ἄκρος,1,–⏑⏑–,auto,1,ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο
Theog.,Th.,7,2,ἑλικῶνι,ἑλικών,4,⏑⏑–⏑,auto,1,ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο
Theog.,Th.,7,3,χοροὺς,χορός,6.5,⏑–,auto,1,ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο
Theog.,Th.,7,4,ἐνεποιήσαντο,ἐμποιέω,8,⏑⏑––––,auto,1,ἀκροτάτῳ Ἑλικῶνι χοροὺς ἐνεποιήσαντο
Theog.,Th.,8,1,καλούς,καλός,1,––,auto,1,"καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν."
Theog.,Th.,8,2,ἱμερόεντας,ἱμερόεις,3,–⏑⏑–⏑,auto,1,"καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν."
Theog.,Th.,8,3,ἐπερρώσαντο δὲ,ἐπιρρώομαι δέ,6.5,⏑–––⏑⏑,auto,1,"καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν."
Theog.,Th.,8,4,ποσσίν,πούς,11,––,auto,1,"καλούς, ἱμερόεντας· ἐπερρώσαντο δὲ ποσσίν."
Theog.,Th.,9,1,ἔνθεν,ἔνθεν,1,–⏑,auto,1,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theog.,Th.,9,2,ἀπορνύμεναι,ἀπόρνυμι,2.5,⏑–⏑⏑–,auto,1,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theog.,Th.,9,3,κεκαλυμμέναι,καλύπτω,6,⏑⏑–⏑⏑,auto,1,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theog.,Th.,9,4,ἠέρι,ἀήρ,9,–⏑⏑,auto,1,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theog.,Th.,9,5,πολλῇ,πολύς,11,––,auto,1,"ἔνθεν ἀπορνύμεναι, κεκαλυμμέναι ἠέρι πολλῇ,"
Theog.,Th.,10,1,ἐννύχιαι,ἐννύχιος,1,–⏑⏑–,auto,1,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theog.,Th.,10,2,στεῖχον,στείχω,4,––,auto,1,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theog.,Th.,10,3,περικαλλέα,περικαλλής,6,⏑⏑–⏑⏑,auto,1,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theog.,Th.,10,4,ὄσσαν,ὄσσα,9,–⏑,auto,1,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theog.,Th.,10,5,ἱεῖσαι,ἵημι,10.5,⏑––,auto,1,"ἐννύχιαι στεῖχον περικαλλέα ὄσσαν ἱεῖσαι,"
Theog.,Th.,11,1,ὑμνεῦσαι,ὑμνέω,1,–––,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,11,2,δία,ζεύς,4,⏑⏑,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,11,3,τ’,τε,5,,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,11,4,αἰγίοχον,αἰγίοχος,5,–⏑⏑–,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,11,5,καὶ πότνιαν,καί πότνια,8,––⏑⏑,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,11,6,ἥρην,ἥρα,11,––,auto,1,ὑμνεῦσαι Δία τ’ αἰγίοχον καὶ πότνιαν Ἥρην
Theog.,Th.,12,1,Ἀργεΐην,Ἀργεῖος,1,–––,manual,1,"Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,"
Theog.,Th.,12,2,χρυσέοισι,χρύσεος,4,⏑⏑–⏑,manual,1,"Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,"
Theog.,Th.,12,3,πεδίλοις,πέδιλον,6.5,⏑––,manual,1,"Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,"
Theog.,Th.,12,4,ἐμβεβαυῖαν,ἐμβαίνω,9,–⏑⏑––,manual,1,"Ἀργεΐην, χρυσέοισι πεδίλοις ἐμβεβαυῖαν,"
Theog.,Th.,13,1,κούρην,κόρη,1,––,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,13,2,τ’,τε,3,,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,13,3,αἰγιόχοιο,αἰγίοχος,3,–⏑⏑–⏑,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,13,4,διὸς,ζεύς,6.5,⏑–,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,13,5,γλαυκῶπιν,γλαυκῶπις,8,––⏑,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,13,6,ἀθήνην,ἀθήνη,10.5,⏑––,auto,1,κούρην τ’ αἰγιόχοιο Διὸς γλαυκῶπιν Ἀθήνην
Theog.,Th.,14,1,φοῖβόν,φοῖβος,1,––,auto,1,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theog.,Th.,14,2,τ’,τε,3,,auto,1,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theog.,Th.,14,3,ἀπόλλωνα,ἀπόλλων,3,–––⏑,auto,1,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theog.,Th.,14,4,καὶ ἄρτεμιν,καί ἄρτεμις,6.5,⏑–⏑⏑,auto,1,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theog.,Th.,14,5,ἰοχέαιραν,ἰοχέαιρα,9,–⏑⏑––,auto,1,Φοῖβόν τ’ Ἀπόλλωνα καὶ Ἄρτεμιν ἰοχέαιραν
Theog.,Th.,15,1,ἠδὲ ποσειδάωνα,ἠδέ ποσειδεών,1,–⏑⏑–––⏑,auto,1,"ἠδὲ Ποσειδάωνα γεήοχον, ἐννοσίγαιον,"
Theog.,Th.,15,2,γεήοχον,γαιήοχος,6.5,⏑–⏑⏑,auto,1,"ἠδὲ Ποσειδάωνα γεήοχον, ἐννοσίγαιον,"
Theog.,Th.,15,3,ἐννοσίγαιον,Ἐννοσίγαιος,9,–⏑⏑––,auto,1,"ἠδὲ Ποσειδάωνα γεήοχον, ἐννοσίγαιον,"
Theog.,Th.,16,1,καὶ θέμιν,καί θέμις,1,–⏑⏑,auto,1,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
Theog.,Th.,16,2,αἰδοίην,αἰδοῖος,3,–––,auto,1,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
Theog.,Th.,16,3,ἑλικοβλέφαρόν,ἑλικοβλέφαρος,6,⏑⏑–⏑⏑–,auto,1,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
Theog.,Th.,16,4,τ’,τε,10,,auto,1,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
Theog.,Th.,16,5,ἀφροδίτην,ἀφροδίτη,10,⏑⏑––,auto,1,καὶ Θέμιν αἰδοίην ἑλικοβλέφαρόν τ’ Ἀφροδίτην
