work,book_n,line_n,word_n,word,lemma,appositive
Dion.,2,34,2,οἱ,ὁ,bidirectional
Dion.,2,548,2,οἱ,ὁ,bidirectional
Dion.,4,392,2,οἱ,ὁ,bidirectional
Dion.,6,64,2,οἱ,ὁ,bidirectional
Dion.,9,310,2,οἱ,ὁ,bidirectional
Dion.,10,22,2,οἱ,ὁ,bidirectional
Dion.,25,465,2,οἱ,ὁ,bidirectional
Dion.,29,38,2,οἱ,ὁ,bidirectional
Dion.,29,171,2,οἱ,ὁ,bidirectional
Dion.,30,233,2,οἱ,ὁ,bidirectional
Dion.,37,1,2,οἱ,ὁ,bidirectional
Dion.,37,403,2,οἱ,ὁ,bidirectional
Dion.,38,103,2,οἱ,ὁ,bidirectional
Dion.,40,315,2,οἱ,ὁ,bidirectional
Dion.,40,354,2,οἱ,ὁ,bidirectional
Dion.,45,4,2,οἱ,ὁ,bidirectional
Dion.,47,221,2,οἱ,ὁ,bidirectional
Od.,14,129,2,οἱ,ὁ,bidirectional
Dion.,42,445,2,οἱ,ὁ,bidirectional
Q.S.,6,121,2,οἱ,ὁ,bidirectional
Q.S.,7,252,2,οἱ,ὁ,bidirectional
Il.,11,34,3,οἱ,ὁ,bidirectional
Il.,18,376,2,οἱ,ὁ,bidirectional
Il.,24,399,3,οἱ,ὁ,bidirectional
Dion.,42,47,2,οἱ,ὁ,bidirectional
Dion.,47,207,3,οἱ,ὁ,bidirectional
Od.,2,21,3,οἱ,ὁ,bidirectional
Q.S.,7,478,3,οἱ,ὁ,bidirectional
Theoc.,1,43,2,οἱ,ὁ,bidirectional
Il.,13,458,3,οἱ,ὁ,bidirectional
Il.,13,821,3,οἱ,ὁ,bidirectional
Il.,14,23,3,οἱ,ὁ,bidirectional
Il.,16,652,3,οἱ,ὁ,bidirectional
Il.,16,715,3,οἱ,ὁ,bidirectional
Dion.,3,124,3,οἱ,ὁ,bidirectional
Dion.,7,309,3,οἱ,ὁ,bidirectional
Od.,5,474,3,οἱ,ὁ,bidirectional
Od.,6,145,3,οἱ,ὁ,bidirectional
Od.,15,160,3,οἱ,ὁ,bidirectional
Od.,15,525,3,οἱ,ὁ,bidirectional
Od.,18,93,3,οἱ,ὁ,bidirectional
Od.,22,338,3,οἱ,ὁ,bidirectional
Od.,24,239,3,οἱ,ὁ,bidirectional
Theoc.,24,82,2,οἱ,ὁ,bidirectional
Il.,17,195,4,οἱ,ὁ,bidirectional
Q.S.,8,340,7,οἱ,ὁ,bidirectional
Q.S.,9,430,7,οἱ,ὁ,bidirectional
Q.S.,12,110,6,οἱ,ὁ,bidirectional
Il.,6,435,7,οἱ,ὁ,bidirectional
Od.,3,203,7,οἱ,ὁ,bidirectional
Q.S.,1,779,5,οἱ,ὁ,bidirectional
Il.,24,292,8,οἱ,ὁ,bidirectional
Il.,2,665,7,οἱ,ὁ,bidirectional
Il.,5,709,6,οἱ,ὁ,bidirectional
Il.,6,402,7,οἱ,ὁ,bidirectional
Il.,8,122,7,οἱ,ὁ,bidirectional
Il.,8,314,7,οἱ,ὁ,bidirectional
Il.,10,407,9,οἱ,ὁ,bidirectional
Il.,11,29,9,οἱ,ὁ,bidirectional
Il.,11,339,7,οἱ,ὁ,bidirectional
Il.,12,50,5,οἱ,ὁ,bidirectional
Il.,15,452,7,οἱ,ὁ,bidirectional
Il.,20,489,8,οἱ,ὁ,bidirectional
Il.,23,303,5,οἱ,ὁ,bidirectional
Il.,23,392,9,οἱ,ὁ,bidirectional
Il.,23,500,8,οἱ,ὁ,bidirectional
Il.,24,53,6,οἱ,ὁ,bidirectional
Od.,4,70,7,οἱ,ὁ,bidirectional
Od.,4,166,8,οἱ,ὁ,bidirectional
Q.S.,3,670,7,οἱ,ὁ,bidirectional
Theoc.,1,33,8,οἱ,ὁ,bidirectional
Phaen.,1,251,2,οἱ,ὁ,postpositive
Phaen.,1,341,2,οἱ,ὁ,postpositive
Phaen.,1,351,2,οἱ,ὁ,postpositive
Phaen.,1,801,2,οἱ,ὁ,postpositive
Phaen.,1,822,2,οἱ,ὁ,postpositive
Argon.,1,1006,2,οἱ,ὁ,postpositive
Argon.,1,1067,2,οἱ,ὁ,postpositive
Argon.,1,1100,2,οἱ,ὁ,postpositive
Argon.,1,1357,2,οἱ,ὁ,postpositive
Argon.,2,613,2,οἱ,ὁ,postpositive
Argon.,2,1225,2,οἱ,ὁ,postpositive
Argon.,3,230,2,οἱ,ὁ,postpositive
Argon.,3,830,2,οἱ,ὁ,postpositive
Argon.,4,172,2,οἱ,ὁ,postpositive
Argon.,4,199,2,οἱ,ὁ,postpositive
Argon.,4,218,2,οἱ,ὁ,postpositive
Argon.,4,1476,2,οἱ,ὁ,postpositive
Callim.Hymn,6,103,2,οἱ,ὁ,postpositive
Hom.Hymn,1,10,2,οἱ,ὁ,postpositive
Hom.Hymn,3,7,2,οἱ,ὁ,postpositive
Hom.Hymn,5,212,2,οἱ,ὁ,postpositive
Il.,1,321,2,οἱ,ὁ,postpositive
Il.,2,586,2,οἱ,ὁ,postpositive
Il.,3,272,2,οἱ,ὁ,postpositive
Il.,3,372,2,οἱ,ὁ,postpositive
Il.,3,375,2,οἱ,ὁ,postpositive
Il.,4,138,2,οἱ,ὁ,postpositive
Il.,4,500,2,οἱ,ὁ,postpositive
Il.,5,12,2,οἱ,ὁ,postpositive
Il.,5,270,2,οἱ,ὁ,postpositive
Il.,6,93,2,οἱ,ὁ,postpositive
Il.,6,274,2,οἱ,ὁ,postpositive
Il.,6,316,2,οἱ,ὁ,postpositive
Il.,6,399,2,οἱ,ὁ,postpositive
Il.,7,222,2,οἱ,ὁ,postpositive
Il.,8,371,2,οἱ,ὁ,postpositive
Il.,9,156,2,οἱ,ὁ,postpositive
Il.,9,285,2,οἱ,ὁ,postpositive
Il.,9,586,2,οἱ,ὁ,postpositive
