metrical_shape,sedes,x,z
,1,14,-1.75803393702508
,2,1869,+0.659123483982878
,2.5,603,-0.990537591486701
,3,2433,+1.39404358395511
,4,1427,+0.0831754623734358
,4.5,204,-1.51045447072237
,5,414,-1.23681400796676
,6,220,-1.48960567356004
,6.5,306,-1.3775433888125
,7,914,-0.585289096643858
,8,1241,-0.159191804638682
,8.5,22,-1.74760953844391
,9,277,-1.41533183366923
,10,539,-1.07393278013603
,10.5,338,-1.33584579448784
,11,244,-1.45833247781654
,12,1,-1.77497358471947
–,1,5955,+1.10901523274163
–,2,498,-1.2336282629327
–,3,2409,-0.413252283413979
–,4,867,-1.07521971429722
–,5,217,-1.35425916311311
–,6,1006,-1.01554820139659
–,7,217,-1.35425916311311
–,8,432,-1.261961499274
–,9,1615,-0.754109702429082
–,10,6,-1.44483966111334
–,11,15,-1.44097603797589
–,12,543,-1.21431014724544
––,1,6212,-0.229534502942424
––,2,1302,-1.41242327371565
––,3,702,-1.55697179967572
––,4,2370,-1.15512689750673
––,5,25,-1.72007071980067
––,6,2817,-1.04743824566648
––,7,342,-1.64370091525176
––,8,728,-1.55070803021745
––,9,33,-1.7181434061212
––,10,6,-1.7246480897894
––,11,11457,+1.03406052815851
–––,1,6082,+0.746482759970292
–––,2,49,-2.23801535150333
–––,3,2819,-0.867708743052817
–––,4,11,-2.25681378151095
–––,5,56,-2.23455248281771
–––,6,111,-2.20734422885931
–––,7,220,-2.15342241646902
–––,8,5,-2.25978195467005
–––,9,22,-2.25137213071927
–––,10,527,-2.00155088982847
––––,1,180,-2.1771420653062
––––,2,76,-2.34244529445393
––––,3,5,-2.45529653742978
––––,4,5,-2.45529653742978
––––,5,1,-2.46165435393547
––––,6,89,-2.32178239081046
––––,7,2,-2.46006489980905
––––,9,1828,+0.44227833503479
–––––,1,55,+0.122601989330464
–––––,3,5,-3.91922183475078
–––––,5,2,-4.16173126419566
–––––,8,58,+0.365111418775339
–––––⏑,1,26,
––––⏑,2,35,-1.40407570003493
––––⏑,6,69,+0.71221231161192
––––⏑⏑,4,1,-4.47213595499958
––––⏑⏑,6,20,+0.223606797749979
––––⏑⏑–,2,1,
––––⏑⏑––,6,2,
–––⏑,1,813,-1.12683791621752
–––⏑,3,1940,+0.709590759887995
–––⏑,7,220,-2.09312203771758
–––⏑⏑,1,72,+0.562530653296382
–––⏑⏑,3,5,-2.00046691880918
–––⏑⏑,5,3,-2.07697430902129
–––⏑⏑,7,15,-1.61792996774865
–––⏑⏑–,1,79,+0.297579042315251
–––⏑⏑–,3,6,-3.3229659725203
–––⏑⏑–,5,1,-3.57094850778301
–––⏑⏑––,7,1,
–––⏑⏑–⏑,1,13,
––⏑,2,259,-2.91405300917545
––⏑,4,5295,+0.724633936954189
––⏑,6,32,-3.07806848510305
––⏑,8,2836,-1.05207996307218
––⏑⏑,2,34,-3.48114071745612
––⏑⏑,4,9,-3.52784756648523
––⏑⏑,6,2287,+0.728080517047847
––⏑⏑,8,1247,-1.21492440256339
––⏑⏑–,2,103,-0.644582120870236
––⏑⏑–,4,92,-0.928628161574206
––⏑⏑–,6,168,+1.03387175601686
––⏑⏑–,8,7,-3.12352938519579
––⏑⏑––,8,157,
––⏑⏑––––,6,3,
––⏑⏑–⏑,2,22,-1.78376517003169
––⏑⏑–⏑,6,70,+0.560611910581388
––⏑⏑–⏑⏑,4,1,-4.35889894354067
––⏑⏑–⏑⏑,6,19,+0.229415733870561
––⏑⏑–⏑⏑–,2,1,
–⏑,1,8082,+0.615376225763807
–⏑,3,1949,-2.80481032330176
–⏑,5,5761,-0.678974496620212
–⏑,7,16,-3.88278531096584
–⏑,9,7982,+0.559609283825676
–⏑⏑,1,8143,+0.817128812902274
–⏑⏑,3,1209,-2.26919432286887
–⏑⏑,5,10,-2.80286917717945
–⏑⏑,7,2785,-1.56771678292435
–⏑⏑,9,6475,+0.0747020764635278
–⏑⏑–,1,5773,+0.737212666270107
–⏑⏑–,3,3727,-0.584264189154128
–⏑⏑–,5,103,-2.92494460169442
–⏑⏑–,7,319,-2.7854338486291
–⏑⏑–,9,319,-2.7854338486291
–⏑⏑––,1,194,-5.37604596836515
–⏑⏑––,5,3,-5.56898688393908
–⏑⏑––,9,5700,+0.185905241844676
–⏑⏑–––,1,227,+0.209874725594473
–⏑⏑–––,3,8,-4.73704983504581
–⏑⏑–––,5,2,-4.87258201478938
–⏑⏑––––,1,2,
–⏑⏑–––⏑,1,102,+0.198029508595335
