metrical_shape,sedes,x,z
,1,11,-1.78920726790121
,2,2332,+1.23201819370912
,2.5,592,-1.03292463403839
,3,2004,+0.805063453765915
,4,1573,+0.244034511950296
,4.5,207,-1.53407577695953
,5,368,-1.32450348082887
,6,201,-1.54188592464142
,6.5,280,-1.43905231349656
,7,912,-0.616383424337696
,8,1010,-0.488817678866859
,8.5,34,-1.75926836845397
,9,263,-1.46118106526191
,10,466,-1.19693773535804
,10.5,293,-1.42213032685247
,11,154,-1.60306541481621
–,1,11862,+1.2485722179422
–,2,2430,-0.966299169206138
–,3,7759,+0.285084378515818
–,4,2362,-0.982267283532483
–,5,1641,-1.15157626043388
–,6,1931,-1.08347694933623
–,7,2072,-1.05036659463013
–,8,1643,-1.15110661001251
–,9,3541,-0.705408360138941
–,10,12,-1.53410652863411
–,11,162,-1.49888274703188
–,12,1241,-1.2455063447065
––,1,5207,-0.171117761339137
––,2,1615,-1.21092186410217
––,3,507,-1.53166321874066
––,4,2954,-0.823311147621185
––,5,27,-1.67061254204975
––,6,1795,-1.15881586786126
––,7,559,-1.51661037538217
––,8,1095,-1.36145029768702
––,9,33,-1.66887567550839
––,10,32,-1.66916515326528
––,11,9616,+1.10518966880625
–––,1,2628,+0.688962191083656
–––,2,10,-2.500714921628
–––,3,2193,+0.15897382438023
–––,4,4,-2.50802510599632
–––,5,68,-2.43004980606754
–––,6,51,-2.45076199511112
–––,7,341,-2.09743641730884
–––,8,2,-2.51046183411909
–––,9,79,-2.41664780139228
–––,10,478,-1.93052054089879
––––,1,2,-3.41537686381667
––––,2,39,-3.28097587200113
––––,3,4,-3.40811194534015
––––,4,1,-3.41900932305493
––––,5,1,-3.41900932305493
––––,6,45,-3.25918111657158
––––,7,2,-3.41537686381667
––––,8,1,-3.41900932305493
––––,9,1026,+0.304261396159412
–––––,3,1,-5.91607978309962
–––––,8,35,+0.169030850945703
––––⏑,2,5,-1.48323969741913
––––⏑,6,11,+0.674199862463242
–––⏑,1,164,-1.66716279769474
–––⏑,3,919,+0.699366948316616
–––⏑,7,291,-1.26908428412726
–––⏑⏑,1,1,-3.3166247903554
–––⏑⏑,7,11,+0.301511344577764
–––⏑⏑–,1,7,
–––⏑⏑–⏑,1,1,
––⏑,2,165,-3.04237788717055
––⏑,4,2493,+0.722735377818827
––⏑,6,118,-3.11839177181595
––⏑,8,1709,-0.545240910734296
––⏑⏑,2,23,-3.576565998008
––⏑⏑,6,1069,+0.738549106783808
––⏑⏑,8,608,-1.16323680460149
––⏑⏑–,2,56,-0.492886716537592
––⏑⏑–,4,59,-0.301818600451409
––⏑⏑–,6,79,+0.971968840123145
––⏑⏑–,8,9,-3.48628720188779
––⏑⏑––,8,46,
––⏑⏑–⏑,2,6,-1.29099444873581
––⏑⏑–⏑,6,10,+0.774596669241483
–⏑,1,6530,+0.116923405097636
–⏑,3,1897,-2.68105076291421
–⏑,5,5582,-0.455595375665417
–⏑,7,46,-3.79891180003701
–⏑,9,7826,+0.89960730791295
–⏑⏑,1,3309,-0.028051923849444
–⏑⏑,3,661,-3.39448853941165
–⏑⏑,5,1,-4.23355506745963
–⏑⏑,7,3043,-0.366221160911206
–⏑⏑,9,4009,+0.86186712104993
–⏑⏑–,1,2605,+0.501263923849324
–⏑⏑–,3,2521,+0.395282883005768
–⏑⏑–,5,99,-2.66050379465011
–⏑⏑–,7,578,-2.0561595260303
–⏑⏑–,9,366,-2.32363548625452
–⏑⏑––,1,13,-14.4275377717006
–⏑⏑––,9,2706,+0.0693118961685546
–⏑⏑–––,1,23,+0.294883912309794
–⏑⏑–––,3,2,-3.39116499156263
–⏑⏑–––⏑,1,1,
–⏑⏑–⏑,1,105,-1.98432620511486
–⏑⏑–⏑,3,857,+0.698158888636362
–⏑⏑–⏑,7,330,-1.1817209576494
–⏑⏑–⏑⏑,1,2,-2.82842712474619
–⏑⏑–⏑⏑,7,16,+0.353553390593274
–⏑⏑–⏑⏑–,1,23,+0.508712668383075
–⏑⏑–⏑⏑–,3,5,-1.86225173247375
–⏑⏑–⏑⏑–,5,1,-2.38913271044194
⏑,2,3039,+0.232911768124159
⏑,2.5,3636,+0.8884632908942
⏑,4,2368,-0.503897397334295
⏑,4.5,985,-2.0225368546056
⏑,6,3949,+1.23216115794114
⏑,6.5,3089,+0.287815580751466
⏑,8,847,-2.17407137745696
⏑,8.5,1142,-1.85013888295585
⏑,10,2552,-0.301851366865807
⏑,10.5,2025,-0.880537551957619
⏑–,2.5,3494,-0.84468972961681
⏑–,4.5,1671,-1.53006177802143
⏑–,6.5,7906,+0.814038453356969
⏑–,8.5,68,-2.13272299227959
⏑–,10.5,389,-2.01204036609314
⏑––,2.5,123,-3.59690138455122
⏑––,4.5,9,-3.63088577828132
⏑––,6.5,1039,-3.32383379984265
⏑––,10.5,13188,+0.297889002148988
⏑–––,2.5,995,-0.442844532776416
⏑–––,4.5,60,-5.16234707780928
⏑–––,6.5,1206,+0.622198287546509
⏑––––,8.5,10,
⏑–––⏑,2.5,232,-1.54668722737027
⏑–––⏑,6.5,555,+0.646543129279106
⏑–––⏑⏑,6.5,19,
⏑–––⏑⏑––,6.5,2,
⏑–⏑,2.5,308,-1.72381065127602
⏑–⏑,4.5,2329,+0.573703368781552
⏑–⏑,6.5,342,-1.68515875781637
⏑–⏑,8.5,118,-1.93980652649172
⏑–⏑⏑,2.5,72,-4.51153254079555
⏑–⏑⏑,6.5,4143,+0.224058373192097
⏑–⏑⏑,8.5,136,-4.43708453821751
⏑–⏑⏑–,2.5,632,-0.946286613165475
⏑–⏑⏑–,4.5,50,-3.37360510636008
⏑–⏑⏑–,6.5,1037,+0.742826771274069
⏑–⏑⏑–,8.5,1,-3.5779669726256
⏑–⏑⏑––,8.5,2,
⏑–⏑⏑–⏑,2.5,77,-1.71698921023166
⏑–⏑⏑–⏑,6.5,227,+0.582414842237172
⏑–⏑⏑–⏑⏑,6.5,13,
⏑⏑,2,2744,-0.530533933379545
⏑⏑,4,2610,-0.622012022560629
⏑⏑,6,2222,-0.886888877801378
⏑⏑,8,5440,+1.30995060715927
⏑⏑,10,2002,-1.03707678541211
⏑⏑–,2,1206,-1.53424501868149
⏑⏑–,4,3308,+0.536666255216696
⏑⏑–,6,3447,+0.673610435555349
⏑⏑–,8,1170,-1.56971257617927
⏑⏑–,10,160,-2.56477460597811
⏑⏑––,2,24,-4.43422956432112
⏑⏑––,4,2,-4.4600758633453
⏑⏑––,6,192,-4.23685782631828
⏑⏑––,8,2,-4.4600758633453
⏑⏑––,10,3998,+0.234551904864982
⏑⏑–––,2,124,+0.724673919338407
⏑⏑–––,4,21,-1.71609136317221
⏑⏑–––,6,45,-1.14736935559692
⏑⏑–––,8,1,-2.19002636948495
⏑⏑––––,8,76,
⏑⏑–––⏑,2,25,+0.871779788708134
⏑⏑–––⏑,6,19,-1.14707866935281
⏑⏑–⏑,2,97,-3.26725898210521
⏑⏑–⏑,4,3096,+0.735850987764712
⏑⏑–⏑,6,124,-3.23121897904203
⏑⏑–⏑,8,1943,-0.803190624526059
⏑⏑–⏑⏑,2,25,-4.93116673785436
⏑⏑–⏑⏑,6,1264,+0.771381167135598
⏑⏑–⏑⏑,8,888,-0.959174129293961
⏑⏑–⏑⏑–,2,223,+0.662412144824951
⏑⏑–⏑⏑–,4,29,-1.56160413223074
⏑⏑–⏑⏑–,6,28,-1.57306813365886
⏑⏑–⏑⏑–,8,41,-1.42403611509328
⏑⏑–⏑⏑––,8,59,
⏑⏑–⏑⏑–⏑,2,6,-1.35400640077266
⏑⏑–⏑⏑–⏑,6,11,+0.738548945875997
