metrical_shape,sedes,x,z
,1,16,-1.6853182006651
,2,1929,+0.142427549899168
,2.5,675,-1.05568701947229
,3,3356,+1.50583224726206
,4,1913,+0.127140601645624
,4.5,217,-1.49327591322997
,5,494,-1.2286206215905
,6,248,-1.46365745098873
,6.5,366,-1.35091620761884
,7,1167,-0.585613360675832
,8,1762,-0.0171299724971906
,8.5,23,-1.67863016080418
,9,408,-1.31078796845329
,10,797,-0.939124039039021
,10.5,418,-1.30123362579483
,11,335,-1.38053466986008
,12,1,-1.6996497146528
–,1,7438,+1.0996181976807
–,2,511,-1.29510656266008
–,3,3020,-0.427723218687941
–,4,996,-1.12743780146977
–,5,215,-1.39743636330406
–,6,1175,-1.06555592878304
–,7,230,-1.39225073151467
–,8,495,-1.30063790323543
–,9,2134,-0.734021203047971
–,10,6,-1.46968949956958
–,11,15,-1.46657812049594
–,12,836,-1.18275120722327
––,1,8589,-0.732247270301086
––,2,1447,-1.53531621603111
––,3,717,-1.61739971230428
––,4,2481,-1.41905000350173
––,5,36,-1.69397349444403
––,6,2991,-1.3617039992561
––,7,360,-1.65754191527622
––,8,786,-1.60964113525928
––,9,51,-1.69228684726034
––,10,6,-1.69734678881142
––,11,22667,+0.850727333169558
–––,1,8604,+0.705216134832931
–––,2,49,-2.24142737399626
–––,3,3500,-1.05278134840075
–––,4,20,-2.25141599606009
–––,5,58,-2.23832745680404
–––,6,116,-2.21835021267638
–––,7,255,-2.17047371381872
–––,8,8,-2.25554921898305
–––,9,22,-2.25072712557293
–––,10,594,-2.05371016624501
––––,1,190,-2.41693075648225
––––,2,76,-2.5667008703582
––––,3,7,-2.65735120244101
––––,4,6,-2.65866497536974
––––,5,1,-2.66523384001342
––––,6,91,-2.54699427642715
––––,7,2,-2.66392006708469
––––,8,3,-2.66260629415595
––––,9,2335,+0.401112175657249
–––––,1,57,+0.121200190735005
–––––,3,5,-3.99195154536665
–––––,5,2,-4.22924876091098
–––––,8,60,+0.358497406279332
–––––⏑,1,34,
––––⏑,2,38,-1.39548142984872
––––⏑,6,74,+0.716598572084479
––––⏑⏑,4,1,-4.69041575982343
––––⏑⏑,6,22,+0.213200716355611
––––⏑⏑–,2,1,
––––⏑⏑––,6,2,
–––⏑,1,1057,-1.68163615886344
–––⏑,3,4379,+0.551887380027144
–––⏑,7,291,-2.19665091828252
–––⏑⏑,1,93,+0.564531629639354
–––⏑⏑,3,6,-2.05745316583405
–––⏑⏑,5,3,-2.14786643464348
–––⏑⏑,7,21,-1.60538682178691
–––⏑⏑–,1,90,+0.27882259010362
–––⏑⏑–,3,6,-3.55228443209587
–––⏑⏑–,5,1,-3.7803265167506
–––⏑⏑––,1,1,
–––⏑⏑––,7,1,
–––⏑⏑–⏑,1,28,
––⏑,2,285,-2.81553275029525
––⏑,4,9180,+0.681498097590225
––⏑,6,29,-2.91617804507419
––⏑,8,4177,-1.28540975310916
––⏑⏑,2,38,-7.86430595769212
––⏑⏑,4,10,-7.94515436537262
––⏑⏑,6,3002,+0.69407548391512
––⏑⏑,8,2528,-0.674572560390492
––⏑⏑–,2,110,-0.695391267663058
––⏑⏑–,4,93,-1.03391507422325
––⏑⏑–,6,195,+0.997227765137911
––⏑⏑–,8,8,-2.72653410702422
––⏑⏑––,8,172,
––⏑⏑––––,6,3,
––⏑⏑–⏑,2,24,-1.95789002074512
––⏑⏑–⏑,6,92,+0.510753918455249
––⏑⏑–⏑⏑,4,1,-4.35889894354067
––⏑⏑–⏑⏑,6,19,+0.229415733870561
––⏑⏑–⏑⏑–,2,1,
––⏑⏑–⏑⏑––,6,3,
–⏑,1,14013,+0.782798486193364
–⏑,3,3892,-2.4382303220345
–⏑,5,9112,-0.776954718937033
–⏑,7,19,-3.67082043904532
–⏑,9,12931,+0.438449788386571
–⏑⏑,1,16912,+0.780874997337576
–⏑⏑,3,2450,-2.20987431596134
–⏑⏑,5,9,-2.71467441786721
–⏑⏑,7,4184,-1.85128219113349
–⏑⏑,9,13128,-0.00165822085652542
–⏑⏑–,1,13628,+0.67923954438269
–⏑⏑–,3,5481,-1.17327076743166
–⏑⏑–,5,112,-2.39410394088585
–⏑⏑–,7,516,-2.30224016698466
–⏑⏑–,9,600,-2.28313977835174
–⏑⏑––,1,203,-6.44049275976042
–⏑⏑––,3,1,-6.59844473557736
–⏑⏑––,5,4,-6.59609891415434
–⏑⏑––,9,8638,+0.155175141308585
–⏑⏑–––,1,282,+0.206274617108093
–⏑⏑–––,3,9,-4.81983750138909
–⏑⏑–––,5,3,-4.93030150399342
–⏑⏑––––,1,2,
–⏑⏑–––⏑,1,192,+0.144337567297407
–⏑⏑–––⏑,5,4,-6.92820323027551
–⏑⏑–⏑,1,1003,-1.81695212299868
–⏑⏑–⏑,3,5324,+0.521521076874879
–⏑⏑–⏑,7,451,-2.11568788007579
–⏑⏑–⏑⏑,1,166,+0.709668898419755
–⏑⏑–⏑⏑,3,3,-2.00573087722391
–⏑⏑–⏑⏑,5,39,-1.40601068137623
–⏑⏑–⏑⏑,7,42,-1.35603399838892
–⏑⏑–⏑⏑–,1,262,+0.302586882757168
–⏑⏑–⏑⏑–,3,18,-3.25944466689301
–⏑⏑–⏑⏑–,5,6,-3.434626546384
–⏑⏑–⏑⏑––,7,6,
–⏑⏑–⏑⏑–⏑,1,126,
–⏑⏑–⏑⏑–⏑⏑–,1,1,
⏑,2,430,-1.01289733202435
⏑,2.5,1095,-0.24643009496932
⏑,4,561,-0.861909049236062
⏑,4.5,137,-1.3506039492531
⏑,6,647,-0.762786970459021
⏑,6.5,2340,+1.18853488267505
⏑,8,113,-1.37826592472576
⏑,8.5,40,-1.46240443345511
⏑,10,327,-1.13161331009452
⏑,10.5,277,-1.18924242566257
⏑–,2.5,5716,-1.19639844235694
⏑–,4.5,1800,-1.95324941903996
⏑–,6.5,15474,+0.68954431312642
⏑–,8.5,48,-2.29186098981336
⏑–,10.5,90,-2.28374358914413
⏑––,2.5,233,-4.44564872534377
⏑––,4.5,15,-4.48117570955409
⏑––,6.5,1319,-4.26866567556207
⏑––,10.5,28940,+0.23266841101295
⏑–––,2.5,2001,-0.852688706155156
⏑–––,4.5,87,-4.62984908282498
⏑–––,6.5,2813,+0.749742968795677
⏑––––,2.5,1,-5.09901951359278
⏑––––,6.5,13,+0.196116135138184
⏑––––,8.5,13,+0.196116135138184
⏑–––––,2.5,2,
⏑–––⏑,2.5,1733,-1.52285909620351
⏑–––⏑,6.5,4019,+0.656659570470438
⏑–––⏑⏑,2.5,1,-20.7605394920267
⏑–––⏑⏑,6.5,431,+0.0481683050859093
⏑–––⏑⏑––,6.5,11,
⏑–⏑,2.5,510,-2.74671722210678
⏑–⏑,4.5,5401,+0.35481910323156
⏑–⏑,6.5,74,-3.02319848112284
⏑–⏑,8.5,97,-3.00861346057841
⏑–⏑⏑,2.5,324,-6.56167634187018
⏑–⏑⏑,4.5,2,-6.69468583004432
⏑–⏑⏑,6.5,16577,+0.151998227366659
⏑–⏑⏑,8.5,57,-6.67196681808911
⏑–⏑⏑–,2.5,1936,-1.27108266695508
⏑–⏑⏑–,4.5,100,-3.04657999273604
⏑–⏑⏑–,6.5,3972,+0.697823953573256
⏑–⏑⏑–,8.5,2,-3.14135054716226
⏑–⏑⏑––,6.5,1,-2.44948974278318
⏑–⏑⏑––,8.5,6,+0.408248290463863
⏑–⏑⏑–––,2.5,3,
⏑–⏑⏑––––,6.5,1,
⏑–⏑⏑–⏑,2.5,883,-1.60900636178161
⏑–⏑⏑–⏑,6.5,2286,+0.621501582437952
⏑–⏑⏑–⏑⏑,2.5,1,-17.5214154679352
⏑–⏑⏑–⏑⏑,6.5,307,+0.0570730145535362
⏑–⏑⏑–⏑⏑–,2.5,4,+0.5
⏑–⏑⏑–⏑⏑–,6.5,1,-2
⏑–⏑⏑–⏑⏑––,6.5,33,
⏑⏑,2,1711,-1.31896209459381
⏑⏑,4,3884,-0.571846998506764
⏑⏑,6,2728,-0.969299852200561
⏑⏑,8,8780,+1.11148273478461
⏑⏑,10,2928,-0.900536382703364
⏑⏑–,2,1691,-1.54852311271012
⏑⏑–,4,4304,-0.251876992891594
⏑⏑–,6,6631,+0.902847661076145
⏑⏑–,8,1209,-1.78770544326983
