work,metrical_shape,sedes,x,z
Argon.,,2,128,-0.145456817615881
Argon.,,2.5,82,-0.710615290012284
Argon.,,3,287,+1.80802572827603
Argon.,,4,141,+0.0142618811048417
Argon.,,4.5,18,-1.49692272986815
Argon.,,5,74,-0.808903719994267
Argon.,,6,32,-1.32491797739968
Argon.,,6.5,60,-0.980908472462738
Argon.,,7,108,-0.391177892570839
Argon.,,8,130,-0.120884710120385
Argon.,,8.5,1,-1.70578564357986
Argon.,,9,38,-1.25120165491319
Argon.,,10,119,-0.256031301345612
Argon.,,10.5,82,-0.710615290012284
Argon.,,11,68,-0.882620042480754
Argon.,–,1,666,+1.09888707815695
Argon.,–,2,36,-1.56793641738133
Argon.,–,3,289,-0.496973965998501
Argon.,–,4,125,-1.19119468547196
Argon.,–,5,15,-1.65683053389928
Argon.,–,6,95,-1.31818628049759
Argon.,–,7,24,-1.61873305539159
Argon.,–,8,12,-1.66952969340184
Argon.,–,9,286,-0.509673125501064
Argon.,–,11,1,-1.71609327824457
Argon.,–,12,16,-1.65259748073176
Argon.,––,1,648,-0.542568474616733
Argon.,––,2,138,-1.47327744496878
Argon.,––,3,71,-1.59554705479934
Argon.,––,4,314,-1.15209160421984
Argon.,––,5,4,-1.7178166646299
Argon.,––,6,438,-0.92580158005581
Argon.,––,7,9,-1.70869206688135
Argon.,––,8,37,-1.65759431948948
Argon.,––,9,3,-1.71964158417961
Argon.,––,10,1,-1.72329142327903
Argon.,––,11,1502,+1.01591282083551
Argon.,–––,1,838,+0.625330922074954
Argon.,–––,2,1,-2.57904321668749
Argon.,–––,3,302,-1.42669361600948
Argon.,–––,4,1,-2.57904321668749
Argon.,–––,7,20,-2.50630354089718
Argon.,–––,10,15,-2.525445560842
Argon.,––––,1,7,-5.75595722757209
Argon.,––––,2,4,-5.79454017839292
Argon.,––––,4,1,-5.83312312921375
Argon.,––––,6,2,-5.82026214560681
Argon.,––––,9,468,+0.17295621522864
Argon.,–––––,1,1,
Argon.,–––––,8,1,
Argon.,–––––⏑,1,4,
Argon.,––––⏑,2,4,+0.707106781186547
Argon.,––––⏑,6,2,-1.4142135623731
Argon.,–––⏑,1,53,-1.86141524628029
Argon.,–––⏑,3,277,+0.508507529740164
Argon.,–––⏑,7,19,-2.22113566764053
Argon.,–––⏑⏑,1,9,
Argon.,–––⏑⏑–,1,6,+0.408248290463863
Argon.,–––⏑⏑–,3,1,-2.44948974278318
Argon.,–––⏑⏑–⏑,1,3,
Argon.,––⏑,2,14,-2.65503457944044
Argon.,––⏑,4,992,+0.524731173851966
Argon.,––⏑,8,261,-1.85196490555166
Argon.,––⏑⏑,4,1,-2.79077378115467
Argon.,––⏑⏑,6,348,+0.522022836653149
Argon.,––⏑⏑,8,94,-1.90290609972491
Argon.,––⏑⏑–,2,10,+0.546586836808283
Argon.,––⏑⏑–,4,1,-2.01143955945448
Argon.,––⏑⏑–,6,2,-1.72721440431417
Argon.,––⏑⏑––,8,4,
Argon.,––⏑⏑––––,6,2,
Argon.,––⏑⏑–⏑,2,1,-2.23606797749979
Argon.,––⏑⏑–⏑,6,5,+0.447213595499958
Argon.,––⏑⏑–⏑⏑,4,1,-1.4142135623731
Argon.,––⏑⏑–⏑⏑,6,2,+0.707106781186547
Argon.,–⏑,1,1244,+0.843288003890042
Argon.,–⏑,3,186,-2.74044283511893
Argon.,–⏑,5,666,-1.11455360759123
Argon.,–⏑,9,1052,+0.192932312878962
Argon.,–⏑⏑,1,1209,+0.786817403547843
Argon.,–⏑⏑,3,186,-2.25294682326012
Argon.,–⏑⏑,5,1,-2.80265980660271
Argon.,–⏑⏑,7,391,-1.64380540928589
Argon.,–⏑⏑,9,983,+0.115276137410405
Argon.,–⏑⏑–,1,1017,+0.712377660312322
Argon.,–⏑⏑–,3,523,-1.13254618290069
Argon.,–⏑⏑–,5,5,-3.06710195371918
Argon.,–⏑⏑–,7,29,-2.97747002611369
Argon.,–⏑⏑–,9,10,-3.04842863546804
Argon.,–⏑⏑––,1,9,-9.12336793109258
Argon.,–⏑⏑––,5,1,-9.21289877407997
Argon.,–⏑⏑––,9,834,+0.109500251983109
Argon.,–⏑⏑–––,1,22,
Argon.,–⏑⏑–––⏑,1,19,+0.324442842261525
Argon.,–⏑⏑–––⏑,5,2,-3.08220700148449
